2026-03-19 20:02:44,909 | CRITICAL | app.core.config | Configuration error: 1 validation error for Settings
rate_limit
  Field required [type=missing, input_value={'env': 'dev', 'app': {'d...e', 'duration': 'true'}}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing
2026-03-19 20:37:56,056 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:38:08,630 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:38:12,133 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:38:38,920 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:38:46,438 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:38:47,925 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:38:49,400 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:38:52,880 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:39:12,459 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:39:14,930 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:40:31,807 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:40:34,286 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:40:45,829 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:40:48,307 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:41:22,965 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:41:24,459 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:41:25,934 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:41:36,466 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:41:37,959 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:41:42,888 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:41:47,384 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:41:48,887 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:42:40,629 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:42:51,154 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:43:07,549 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:43:21,111 | INFO | app.core.config | Settings loaded for env=dev
